CO(GT),PT08.S1(CO),C6H6(GT),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,is_weekend,is_warm_season,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9
2.6,1360.0,11.9,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2.0,1292.0,9.4,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,19,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2.2,1402.0,9.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2.2,1376.0,9.2,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.6,1272.0,6.5,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,22,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.2,1197.0,4.7,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,23,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.2,1185.0,3.6,62.0,1387.0,77.0,1333.0,733.0,11.3,56.8,0.7603,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1136.0,3.3,62.0,1387.0,76.0,1333.0,730.0,10.7,60.0,0.7702,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9,1094.0,2.3,45.0,1387.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.6,1010.0,1.7,188.0,1387.0,110.0,1235.0,501.0,10.3,60.2,0.7517,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7,1066.0,1.1,16.0,1387.0,28.0,1182.0,422.0,11.0,56.2,0.7366,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7,1052.0,1.6,34.0,1387.0,48.0,1221.0,472.0,10.5,58.1,0.7353,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
